Place,Time,Marking
>New batch arrives,54.06,41
Heat-sealing packaging,54.06,1
>New batch arrives,54.06,40
>New batch arrives,55.5,41
>New batch arrives,55.5,42
>New batch arrives,57.0,43
>New batch arrives,57.0,44
Heat-sealing packaging,57.76,0
Sealer standby state,57.76,1
Sealer standby state,57.76,0
Heat-sealing packaging,57.76,1
>New batch arrives,57.76,43
Heat-sealing packaging,57.76,1
>New batch arrives,57.76,42
>New batch arrives,58.5,43
>New batch arrives,58.5,44
>New batch arrives,60.0,45
>New batch arrives,60.0,46
Heat-sealing packaging,61.28,0
Sealer standby state,61.28,1
Sealer standby state,61.28,0
Heat-sealing packaging,61.28,1
>New batch arrives,61.28,45
Heat-sealing packaging,61.28,1
>New batch arrives,61.28,44
>New batch arrives,61.5,45
>New batch arrives,61.5,46
>New batch arrives,63.0,47
>New batch arrives,63.0,48
>New batch arrives,64.5,49
>New batch arrives,64.5,50
Heat-sealing packaging,65.01,0
Sealer standby state,65.01,1
Sealer standby state,65.01,0
Heat-sealing packaging,65.01,1
>New batch arrives,65.01,49
Heat-sealing packaging,65.01,1
>New batch arrives,65.01,48
>New batch arrives,66.0,49
>New batch arrives,66.0,50
>New batch arrives,67.5,51
>New batch arrives,67.5,52
Heat-sealing packaging,68.08,0
Sealer standby state,68.08,1
Sealer standby state,68.08,0
Heat-sealing packaging,68.08,1
>New batch arrives,68.08,51
Heat-sealing packaging,68.08,1
>New batch arrives,68.08,50
>New batch arrives,69.0,51
>New batch arrives,69.0,52
>New batch arrives,70.5,53
>New batch arrives,70.5,54
Heat-sealing packaging,71.55,0
Sealer standby state,71.55,1
Sealer standby state,71.55,0
Heat-sealing packaging,71.55,1
>New batch arrives,71.55,53
Heat-sealing packaging,71.55,1
>New batch arrives,71.55,52
>New batch arrives,72.0,53
>New batch arrives,72.0,54
>New batch arrives,73.5,55
>New batch arrives,73.5,56
Heat-sealing packaging,74.97,0
Sealer standby state,74.97,1
Sealer standby state,74.97,0
Heat-sealing packaging,74.97,1
>New batch arrives,74.97,55
Heat-sealing packaging,74.97,1
>New batch arrives,74.97,54
>New batch arrives,75.0,55
>New batch arrives,75.0,56
>New batch arrives,76.5,57
>New batch arrives,76.5,58
>New batch arrives,78.0,59
>New batch arrives,78.0,60
Heat-sealing packaging,78.45,0
Sealer standby state,78.45,1
Sealer standby state,78.45,0
Heat-sealing packaging,78.45,1
>New batch arrives,78.45,59
Heat-sealing packaging,78.45,1
>New batch arrives,78.45,58
>New batch arrives,79.5,59
>New batch arrives,79.5,60
>New batch arrives,81.0,61
>New batch arrives,81.0,62
Heat-sealing packaging,81.88,0
Sealer standby state,81.88,1
Sealer standby state,81.88,0
Heat-sealing packaging,81.88,1
>New batch arrives,81.88,61
Heat-sealing packaging,81.88,1
>New batch arrives,81.88,60
>New batch arrives,82.5,61
>New batch arrives,82.5,62
>New batch arrives,84.0,63
>New batch arrives,84.0,64
Heat-sealing packaging,85.24,0
Sealer standby state,85.24,1
Sealer standby state,85.24,0
Heat-sealing packaging,85.24,1
>New batch arrives,85.24,63
Heat-sealing packaging,85.24,1
>New batch arrives,85.24,62
>New batch arrives,85.5,63
>New batch arrives,85.5,64
>New batch arrives,87.0,65
>New batch arrives,87.0,66
>New batch arrives,88.5,67
>New batch arrives,88.5,68
Heat-sealing packaging,88.74,0
Sealer standby state,88.74,1
Sealer standby state,88.74,0
Heat-sealing packaging,88.74,1
>New batch arrives,88.74,67
Heat-sealing packaging,88.74,1
>New batch arrives,88.74,66
>New batch arrives,90.0,67
>New batch arrives,90.0,68
>New batch arrives,91.5,69
>New batch arrives,91.5,70
Heat-sealing packaging,92.33,0
Sealer standby state,92.33,1
Sealer standby state,92.33,0
Heat-sealing packaging,92.33,1
>New batch arrives,92.33,69
Heat-sealing packaging,92.33,1
>New batch arrives,92.33,68
>New batch arrives,93.0,69
>New batch arrives,93.0,70
>New batch arrives,94.5,71
>New batch arrives,94.5,72
Heat-sealing packaging,95.98,0
Sealer standby state,95.98,1
Sealer standby state,95.98,0
Heat-sealing packaging,95.98,1
>New batch arrives,95.98,71
Heat-sealing packaging,95.98,1
>New batch arrives,95.98,70
>New batch arrives,96.0,71
>New batch arrives,96.0,72
>New batch arrives,97.5,73
>New batch arrives,97.5,74
>New batch arrives,99.0,75
>New batch arrives,99.0,76
Heat-sealing packaging,99.52,0
Sealer standby state,99.52,1
Sealer standby state,99.52,0
Heat-sealing packaging,99.52,1
>New batch arrives,99.52,75
Heat-sealing packaging,99.52,1
>New batch arrives,99.52,74
Sealer standby state,100,0
>New batch arrives,100,74
Heat-sealing packaging,100,1
>New batch arrives,1.5,1
>New batch arrives,1.5,2
Sealer standby state,1.5,0
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,1
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,0
>New batch arrives,3.0,1
